3,16
25,35
60,62
101,123
138,154
202,211
291,296
310,331
357,359
722,725
807,809
888,896
1571,1602
1660,1667
1698,1757
1768,1795
2228,2230
2418,2640
3344,3350
3437,3457
3505,3537
3693,3737
3854,3867
3905,4019
4028,4038
4049,4061
4082,4095
4184,4186
4416,4534
4554,4557
4570,4578
4603,4611
4674,4680
4694,4696
4791,4940
5420,5435
5460,5462
5873,5875
6406,6413
6499,6510
6588,6749
6783,6862
6872,6940
7031,7039
7055,7058
7081,7083
7093,7098
7110,7211
7220,7231
7658,7678
7700,7715
7750,7752
7765,7769
7903,7916
8037,8045
8235,8295
8528,8676
9057,9073
9083,9092
9169,9171
9543,9552
9562,9572
9690,9701
9712,9742
9792,9798
9824,9985
10066,10069
10135,10142
10157,10184
10257,10270
10306,10308
10438,10444
10466,10473
10495,10501
10529,10554
10562,10595
10610,10613
10723,10728
10739,10797
11290,11422
12346,12352
12591,12634
12739,12747
13161,13165
13179,13199
13473,13492
13570,13576
13736,13740
13879,13891
13904,13933
13950,13989
14008,14018
14146,14156
14260,14263
14348,14350
14404,14491
14501,14574
14967,14972
15010,15038
15097,15119
15146,15165
15175,15181
15189,15192
15218,15233
15336,15400
15770,15776
15835,15848
15984,16005
16167,16279
16287,16348
16366,16395
16561,16771
16837,16841
16938,16973
17187,17233
17920,17928
17976,17989
18080,18103
18122,18128
18144,18367
18738,18749
18841,18844
19653,19804
19817,19823
19960,19962
20195,20197
20724,20771
20885,20897
21156,21164
21358,21365
21887,21890
22052,22073
22112,22177
22302,22305
22313,22316
22325,22338
22442,22564
22574,22680
22703,22708
23218,23222
23465,23641
23786,23795
23925,24074
24179,24197
24209,24247
24282,24293
24318,24335
24510,24542
24905,24914
