62,64
66,68
86,88
151,154
792,834
835,840
841,853
866,873
874,877
878,882
883,889
898,900
907,909
919,922
923,926
1083,1090
1093,1097
1126,1135
1140,1143
1145,1147
1509,1530
1531,1533
1535,1538
1541,1550
1837,1858
1859,1867
1872,1874
1962,1966
2456,2459
2461,2464
2474,2476
3170,3196
3714,3736
3737,3740
3832,3848
4128,4131
4143,4158
4315,4317
4384,4387
4388,4390
4391,4396
4446,4448
4454,4477
4480,4508
4509,4511
4520,4522
6591,6594
6680,6684
6686,6690
6693,6696
6698,6700
7205,7212
7242,7246
7368,7370
7627,7632
8761,8763
8764,8768
8770,8773
8774,8778
8779,8782
8787,8790
10778,10788
10842,10844
11226,11229
11493,11501
11503,11529
11531,11537
11673,11696
11716,11720
11724,11736
11765,11771
12955,12976
13362,13366
13529,13534
13723,13727
13802,13807
14161,14167
14168,14177
16377,16379
16928,16930
17173,17175
17239,17243
17246,17250
17437,17439
17772,17774
17786,17788
18853,18860
18862,18865
20193,20196
20393,20403
21804,21807
21930,21932
21959,21966
21978,21980
22014,22017
22021,22028
22113,22126
22150,22162
22252,22255
22427,22431
22502,22504
22511,22522
22525,22538
22542,22563
22566,22568
22569,22571
22623,22630
23197,23205
23206,23209
23210,23213
23216,23218
23246,23249
23250,23253
23904,23911
23915,23917
24028,24030
24068,24070
24220,24236
24237,24240
24242,24253
24254,24276
